C2,C3,C4,C5,C6,C7,C8,Car,Car Name,Game,Gran Turismo 5,Gran Turismo 6,Gran Turismo 7,Main Series,NTSC-J,NTSC-J (menus),NTSC-J (race),NTSC-U,NTSC-U (menus),NTSC-U (race),NTSC-U and PAL (menus),NTSC-U and PAL (race),Other,Other games,PAL,Prologues/Concepts,Region,URL
,,,,,,,,Ferrari 599 '06,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Ferrari_599_%2706
,,,,,,,,Volkswagen Karmann Ghia Coupe (Type-1) '68,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Volkswagen_Karmann_Ghia_Coupe_(Type-1)_%2768
,,,,,,,,Mazda Furai Concept '08,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_Furai_Concept_%2708
,,,,,,,,McLaren,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/McLaren
,,,,,,,,Vauxhall Astra Super Touring Car '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Vauxhall_Astra_Super_Touring_Car_%2700
,,,,,,,,Toyota FT-1,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Toyota_FT-1_graphite
,,,,,,,,Honda S2000 Type V '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_S2000_Type_V_%2700
,,,,,,,,Mazda Atenza Concept '01,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_Atenza_Concept_%2701
,,,,,,,,Mitsubishi FTO GPX '94,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mitsubishi_FTO_GPX_%2794
,,,,,,,,Autobacs ARTA Garaiya '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Autobacs_ARTA_Garaiya_%2703
,,,,,,,,Peugeot RCZ '10,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Peugeot_RCZ_%2710
,,,,,,,,BMW M5 '08,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/BMW_M5_%2708
,,,,,,,,Nissan SILVIA K's (S13) '91,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_SILVIA_K%27s_(S13)_%2791
,,,,,,,,Mitsubishi GTO Twin Turbo '95,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mitsubishi_GTO_Twin_Turbo_%2795
,,,,,,,,Nissan BLUEBIRD 1600 Deluxe (510) '69,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_BLUEBIRD_1600_Deluxe_(510)_%2769
,,,,,,,,Mitsubishi GTO Twin Turbo MR '98,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mitsubishi_3000GT_MR_(J)_%2798
,,,,,,,,Nissan CUBE X '98,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_CUBE_X_%2798
,,,,,,,,Chevrolet Camaro Z28 Race Car '69,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Chevrolet_Camaro_Z28_RM_%2769
,,,,,,,,Mitsubishi Lancer Evolution VIII GSR '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mitsubishi_Lancer_Evolution_VIII_GSR_%2703
,,,,,,,,SEAT Ibiza Cupra '04,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/SEAT_Ibiza_Cupra_%2704
,,,,,,,,TVR Cerbera Speed 12 '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/TVR_Cerbera_Speed_12_%2700
,,,,,,,Picture,Grand Touring Garage,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Grand_Touring_Garage
,,,,,,,,Toyota PRIUS G Touring Selection (J) '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Toyota_PRIUS_G_Touring_Selection_(J)_%2703
,,,,,,,,Pagani Zonda C12 '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Pagani_Zonda_C12_%2700
,,,,,,,,2010 Brian Vickers #83 Red Bull TOYOTA CAMRY,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/2010_Brian_Vickers_%E2%99%AF83_Red_Bull_TOYOTA_CAMRY
,,,,,,,,Nissan GT-R Concept LM Race Car,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_GT-R_Concept_LM_Race_Car
,,,,,,,,Subaru IMPREZA Sedan WRX STi Version V '98,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Subaru_IMPREZA_Sedan_WRX_STi_Version_V_%2798
,,,,,,,,Mercedes-Benz CL 600 '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mercedes-Benz_CL_600_%2700
,,,,,,,,NISMO GT-R LM Road Going Version '95,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/NISMO_GT-R_LM_Road_Going_Version_%2795
,,,,,,,,Lamborghini Murciélago LP670-4 SuperVeloce '09,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Lamborghini_Murcielago_LP670-4_SuperVeloce_%2709
,,,,,,,,KTM X-BOW Street '12,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/KTM_X-BOW_Street_%2712
,,,,,,,,Mario Andretti's 1948 Hudson,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mario_Andretti%27s_1948_Hudson
,,,,,,,,Honda CIVIC TYPE R (EP) '01,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_CIVIC_TYPE_R_(EP)_%2701
,,,,,,,,Mercedes-Benz A 160 Avantgarde '98,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mercedes-Benz_A_160_Avantgarde_%2798
,,,,,,,Picture,Bentley,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Bentley
,,,,,,,,2010 Jimmie Johnson #48 Lowe's CHEVROLET IMPALA,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/2010_Jimmie_Johnson_%E2%99%AF48_Lowe%27s_CHEVROLET_IMPALA
,,,,,,,,Mazda Autozam AZ-1 '92,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda_Autozam_AZ-1_%2792
,,,,,,,Picture,SEAT,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/SEAT
,,,,,,,,Toyota WiLL VS '01,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Toyota_WiLL_VS_%2701
,,,,,,,,RE Amemiya,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/RE_Amemiya
,,,,,,,,2013 DeltaWing,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/2013_DeltaWing
,,,,,,,,Peugeot 106 Rallye '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Peugeot_106_Rallye_%2703
,,,,,,,,BMW 507 '57,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/BMW_507_%2757
,,,,,,,,BMW M3 GTR '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/BMW_M3_GTR_%2703
,,,,,,,,Chevrolet Corvette Sting Ray Sport Coupe (C2) '63,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Chevrolet_Corvette_Coupe_(C2)_%2763
,,,,,,,,Daihatsu STORIA CX 4WD '98,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Daihatsu_STORIA_CX_4WD_%2798
,,,,,,,,Alfa Romeo 166 2.5 V6 24V Sportronic '98,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Alfa_Romeo_166_2.5_V6_24V_Sportronic_%2798
,,,,,,,,Nissan SKYLINE GT-R (R32) '91,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_SKYLINE_GT-R_(R32)_%2791
,,,,,,,,Subaru IMPREZA WRX STI spec C '09,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Subaru_IMPREZA_WRX_STI_spec_C_%2709
,,,,,,,,Daihatsu STORIA CX 4WD '98,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Daihatsu_SIRION_CX_4WD_(J)_%2798
,,,,,,,,Mazdaspeed Atenza '05,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazdaspeed_Atenza_%2705
,,,,,,,,TOYOTA MODELLISTA CELICA TRD Sports M (ZZT231) '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/TOYOTA_MODELLISTA_CELICA_TRD_Sports_M_(ZZT231)_%2700
,,,,,,,,Mitsubishi PAJERO Rally Raid Car '85,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mitsubishi_PAJERO_Rally_Raid_Car_%2785
,,,,,,,,Honda CIVIC 1500 3door 25i '83,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_CIVIC_1500_3door_25i_%2783
,,,,,,,,Nissan Fairlady 2000 (SR311) '68,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_Fairlady_2000_(SR311)_%2768
,,,,,,,,Pescarolo Sport Courage C60 - Peugeot '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Pescarolo_Sport_Courage_C60_-_Peugeot_%2703
,,,,,,,,Ayrton Senna LOTUS 97T '85,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Ayrton_Senna_LOTUS_97T_%2785
,,,,,,,,Spoon CR-Z,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Spoon_CR-Z
,,,,,,,,Alfa Romeo Spider 1600 Duetto '66,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Alfa_Romeo_Spider_1600_Duetto_%2766
,,,,,,,,Renault Sport Clio 2.0 16V '02,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Renault_Sport_Clio_2.0_16V_%2702
,,,,,,,,Jaguar E-TYPE Coupe '61,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Jaguar_E-TYPE_Coupe_%2761
,,,,,,,,Mazda Atenza Touring Car,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mazda6_Touring_Car
,,,,,,,,Opel Tigra 1.6i '99,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Opel_Tigra_1.6i_%2799
,,,,,,,,Mercedes-Benz 190 E 2.5 - 16 Evolution II '91,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mercedes-Benz_190_E_2.5_-_16_Evolution_II_%2791
,,,,,,,,Alfa Romeo TZ3 Stradale '11,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Alfa_Romeo_TZ3_Stradale_%2711
,,,,,,,,Subaru CUSCO DUNLOP SUBARU IMPREZA '08,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Subaru_CUSCO_DUNLOP_SUBARU_IMPREZA_%2708
,,,,,,,,Pagani,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Pagani
,,,,,,,,Chevrolet Corvette Convertible (C1) '54,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Chevrolet_Corvette_Convertible_(C1)_%2754
,,,,,,,,Fiat 500 F '68,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Fiat_500_F_%2768
,,,,,,,,Nissan SKYLINE 1500Deluxe (S50D-1) '63,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_SKYLINE_1500Deluxe_(S50D-1)_%2763
,,,,,,,,Subaru LEGACY Touring Wagon 2.0GT '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Subaru_LEGACY_Touring_Wagon_2.0GT_%2703
,,,,,,,,MG TF160 '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/MG_TF160_%2703
,,,,,,,,Jaguar XJ13 Chrome Line,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Jaguar_XJ13_Chrome_Line
,,,,,,,,Suzuki V6 Escudo Pikes Peak Special '98,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Suzuki_ESCUDO_Dirt_Trial_Car_%2798
,,,,,,,,Alfa Romeo Brera Sky Window 3.2 JTS Q4 '06,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Alfa_Romeo_Brera_Sky_Window_3.2_JTS_Q4_%2706
,,,,,,,,Lamborghini Murciélago LP640 Chrome Line,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Lamborghini_Murcielago_LP640_Chrome_Line
,,,,,,,,Nissan Fairlady Z Concept LM Race Car,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_Fairlady_Z_Concept_LM_Race_Car
